11:36:34:807 [ALWAYS]	GUDE Logging Started
11:36:34:808 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
11:36:34:818 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
11:36:34:818 [ERROR]	Initialize resume cache pointer failure
11:36:34:818 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
11:36:34:818 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
11:36:44:021 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
11:36:44:022 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
11:36:44:022 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
11:36:44:022 [ERROR]	Initialize resume cache pointer failure
11:36:44:023 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
11:36:44:023 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
